,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
0,1.0,2010-02-12,1641957.44,1.0,38.51,2.548,211.24216980000003,8.106,2010,2,12,4
1,1.0,2010-05-14,1494251.5,0.0,74.78,2.854,210.3374261,7.808,2010,5,14,4
2,1.0,2010-08-27,1449142.92,0.0,85.22,2.619,211.5673056,7.787000000000001,2010,8,27,4
3,1.0,2011-05-27,1466046.67,0.0,85.22,3.786,215.5037878,7.682,2011,5,27,4
4,1.0,2011-08-05,1624383.75,0.0,91.65,3.684,215.544618,7.9620000000000015,2011,8,5,4
5,1.0,2011-11-18,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866,2011,11,18,4
6,1.0,2012-03-16,1677472.78,0.0,64.74,3.734,221.2118132,7.348,2012,3,16,4
7,1.0,2012-10-19,1508068.77,0.0,67.97,3.594,223.4257233,7.128,2012,10,19,4
8,1.0,2012-10-19,1661767.33,1.0,67.97,3.73,222.4390153,6.908,2012,10,19,4
9,2.0,2010-02-19,2124451.54,0.0,39.69,2.514,210.9451605,8.163,2010,2,19,4
10,2.0,2010-11-12,1916812.74,0.0,59.69,2.728,211.6608975,8.163,2010,11,12,4
11,2.0,2011-01-07,1758050.79,0.0,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011,1,7,4
12,2.0,2011-12-16,2432736.52,0.0,50.13,2.9760000000000004,215.20997555,7.441,2011,12,16,4
13,2.0,2012-01-06,1799520.14,0.0,46.75,2.9760000000000004,219.355063,7.057,2012,1,6,4
14,2.0,2012-02-24,1861802.7,0.0,54.63,3.555,220.275944,7.057,2012,2,24,4
15,2.0,2012-02-24,1853161.99,0.0,87.7,3.48,214.9296249,7.494,2012,2,24,4
16,2.0,2012-02-24,1797732.56,0.0,76.42,3.786,215.1544822,7.931,2012,2,24,4
17,3.0,2010-02-05,461622.22,0.0,45.71,2.572,214.4248812,7.3679999999999986,2010,2,5,4
18,3.0,2010-06-04,396968.8,0.0,78.53,2.705,214.4958382,7.343,2010,6,4,4
19,3.0,2010-06-18,364076.85,0.0,83.52,2.637,214.7858259,7.343,2010,6,18,4
20,3.0,2011-09-23,365248.94,0.0,80.19,3.467,219.7414914,7.567,2011,9,23,4
21,3.0,2011-10-07,403342.4,0.0,75.54,3.285,220.6923883,7.197,2011,10,7,4
22,3.0,2011-11-18,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197,2011,11,18,4
23,3.0,2012-01-13,367438.62,0.0,51.86,3.261,223.43921740000002,6.832999999999998,2012,1,13,4
24,3.0,2012-05-11,431985.36,0.0,75.19,3.688,225.2351496,6.664,2012,5,11,4
25,3.0,2012-06-22,419497.95,0.0,82.7,3.346,225.3068615,6.664,2012,6,22,4
26,3.0,2012-10-19,424513.08,0.0,73.44,3.594,226.9688442,6.034,2012,10,19,4
27,3.0,2012-10-19,418925.47,0.0,60.12,3.555,224.1320199,6.832999999999998,2012,10,19,4
28,3.0,2012-10-19,384200.69,0.0,60.12,2.667,214.7027646,6.832999999999998,2012,10,19,4
29,4.0,2010-05-28,1857533.7,0.0,42.4,2.756,126.1602258,7.896,2010,5,28,4
30,4.0,2010-12-10,2302504.86,0.0,42.4,2.86,126.7934,7.127000000000002,2010,12,10,4
31,4.0,2011-06-24,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015,2011,6,24,4
32,4.0,2011-07-08,2066541.86,0.0,84.59,3.469,129.1125,5.644,2011,7,8,4
33,4.0,2011-07-22,2036231.39,0.0,82.84,3.627,129.1507742,5.644,2011,7,22,4
34,4.0,2011-12-16,2771397.17,0.0,36.44,3.149,129.8980645,5.143,2011,12,16,4
35,5.0,2010-04-30,298697.84,0.0,67.53,2.64,210.939388,6.496,2010,4,30,4
36,5.0,2010-07-30,268929.03,0.0,82.46,2.64,211.9270006,6.496,2010,7,30,4
37,5.0,2010-11-12,301827.36,0.0,62.37,2.64,212.5604113,6.768,2010,11,12,4
38,5.0,2011-05-13,290930.01,0.0,77.38,3.899,216.5343611,6.489,2011,5,13,4
39,5.0,2011-07-29,275142.17,0.0,89.42,3.682,216.0464364,6.529,2011,7,29,4
40,5.0,2011-11-11,311906.7,0.0,60.71,3.297,218.5699621,6.3,2011,11,11,4
41,5.0,2012-10-19,313358.15,0.0,69.17,3.594,224.0192873,5.4220000000000015,2012,10,19,4
42,5.0,2012-10-19,359206.21,0.0,69.17,3.63,221.4342146,5.943,2012,10,19,4
43,6.0,2010-04-30,1498080.16,0.0,68.91,2.78,211.8942725,7.0920000000000005,2010,4,30,4
44,6.0,2010-05-28,1644470.66,0.0,78.89,2.759,212.412888,7.0920000000000005,2010,5,28,4
45,6.0,2010-07-30,1532308.78,0.0,78.89,2.64,212.8944846,6.973,2010,7,30,4
46,6.0,2011-02-18,1572117.54,0.0,59.61,3.045,214.7775231,6.858,2011,2,18,4
47,6.0,2011-04-22,1639358.93,0.0,74.24,3.807,217.0146941,6.855,2011,4,22,4
48,6.0,2011-08-26,1420405.41,0.0,74.24,3.523,217.2706543,6.925,2011,8,26,4
49,7.0,2010-04-02,561145.14,0.0,38.26,2.725,189.7048215,8.963,2010,4,2,4
50,7.0,2011-05-13,414094.05,0.0,36.61,3.767,192.826069,8.595,2011,5,13,4
51,7.0,2011-08-26,629994.47,0.0,57.6,3.485,194.3796374,8.622,2011,8,26,4
52,7.0,2012-02-10,563460.77,1.0,18.79,3.103,196.9195056,8.256,2012,2,10,4
53,7.0,2012-04-20,457340.06,0.0,39.3,3.936,197.7227385,8.09,2012,4,20,4
54,7.0,2012-05-25,532739.77,0.0,50.6,3.804,197.5886046,8.09,2012,5,25,4
55,7.0,2012-09-07,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001,2012,9,7,4
56,7.0,2012-09-07,716388.81,0.0,20.74,2.778,198.0950484,7.872000000000001,2012,9,7,4
57,8.0,2010-02-12,994801.4,1.0,33.34,2.548,214.62141890000004,6.299,2010,2,12,4
58,8.0,2010-03-12,860336.16,0.0,49.76,2.548,214.7492449,6.299,2010,3,12,4
59,8.0,2010-08-27,888816.78,0.0,74.92,2.619,214.9362793,6.315,2010,8,27,4
60,8.0,2010-09-17,836707.85,0.0,75.32,2.582,214.8785562,6.315,2010,9,17,4
61,8.0,2011-08-12,856796.1,0.0,86.05,3.638,219.0075249,6.37,2011,8,12,4
62,8.0,2011-08-19,895066.5,0.0,82.92,3.554,219.07019680000005,6.425,2011,8,19,4
63,9.0,2010-06-18,513073.87,0.0,82.99,2.637,215.0166484,6.384,2010,6,18,4
64,9.0,2010-06-25,509263.28,0.0,85.02,2.653,214.8965756,6.413,2010,6,25,4
65,9.0,2010-07-09,485389.15,0.0,78.51,2.642,214.6564301,6.442,2010,7,9,4
66,9.0,2010-11-19,519823.3,0.0,49.96,2.7710000000000004,215.43728540000004,6.56,2010,11,19,4
67,10.0,2010-06-25,1768172.31,0.0,90.32,3.882,126.1266,9.524,2010,6,25,4
68,10.0,2012-03-02,1990371.02,0.0,57.62,3.882,130.6457931,7.545,2012,3,2,4
69,10.0,2012-07-06,1805999.79,0.0,86.87,3.666,130.7196333,7.17,2012,7,6,4
70,10.0,2012-07-06,1714309.9,0.0,43.43,3.287,127.1917742,8.744,2012,7,6,4
71,10.0,2012-07-06,1831676.03,0.0,88.44,3.112,126.1283548,9.199,2012,7,6,4
72,11.0,2010-11-26,1757242.51,1.0,69.9,2.735,215.0614025,7.564,2010,11,26,4
73,11.0,2010-11-26,1244390.03,0.0,84.57,2.735,214.55649680000005,7.346,2010,11,26,4
74,11.0,2010-11-26,1569607.94,0.0,52.77,3.51,223.9170153,6.832999999999998,2010,11,26,4
75,13.0,2010-07-02,2018314.71,0.0,78.82,2.814,126.1392,7.951,2010,7,2,4
76,13.0,2010-08-20,1997397.63,0.0,76.34,2.85,126.4663,7.951,2010,8,20,4
77,13.0,2010-12-10,2461468.35,0.0,36.78,2.817,126.7934,7.795,2010,12,10,4
78,13.0,2011-03-25,1807545.43,0.0,42.38,3.435,128.6160645,7.47,2011,3,25,4
79,13.0,2011-08-12,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002,2011,8,12,4
80,13.0,2011-09-23,1847430.96,0.0,63.6,3.648,129.5183333,6.877000000000002,2011,9,23,4
81,13.0,2012-01-20,1811606.21,0.0,32.71,3.648,130.27922579999998,6.104,2012,1,20,4
82,13.0,2012-03-16,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104,2012,3,16,4
83,13.0,2012-06-01,2035431.39,0.0,61.11,3.788,130.95922579999998,5.965,2012,6,1,4
84,14.0,2010-02-26,2095591.63,0.0,34.89,2.78,182.4424199,8.992,2010,2,26,4
85,14.0,2010-06-18,2248645.59,0.0,72.62,2.78,182.4424199,8.899,2010,6,18,4
86,14.0,2010-12-10,2600519.26,0.0,30.54,3.109,182.52036285,8.782333333333332,2010,12,10,4
87,14.0,2011-01-07,1864746.1,0.0,34.32,3.193,182.5983058,8.665666666666667,2011,1,7,4
88,14.0,2011-03-25,1879451.23,0.0,41.76,3.625,184.9943679,8.549,2011,3,25,4
89,14.0,2011-05-06,2095599.93,0.0,41.76,4.046,185.9374378,8.521,2011,5,6,4
90,14.0,2011-07-15,1953544.76,0.0,78.47,3.76,186.1399808,8.625,2011,7,15,4
91,14.0,2012-02-10,2077256.24,1.0,37.0,3.76,187.9912321,8.424,2012,2,10,4
92,14.0,2012-02-17,2020550.99,0.0,36.85,3.695,189.8424834,8.424,2012,2,17,4
93,15.0,2010-02-19,660838.75,0.0,69.8,2.909,131.637,7.657999999999999,2010,2,19,4
94,15.0,2011-06-03,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999,2011,6,3,4
95,15.0,2012-03-16,570611.23,0.0,47.42,4.021,137.5843871,7.943,2012,3,16,4
96,15.0,2012-03-16,607475.44,0.0,79.97,3.972,135.8738387,7.806,2012,3,16,4
97,16.0,2010-07-09,614253.33,0.0,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010,7,9,4
98,16.0,2011-05-20,435397.19,0.0,43.95,3.828,192.831317,6.339,2011,5,20,4
99,16.0,2012-03-30,485095.41,0.0,48.29,3.75,197.4133259,6.162000000000001,2012,3,30,4
100,16.0,2012-09-14,526525.16,0.0,48.29,3.659,198.1267184,6.061,2012,9,14,4
101,17.0,2010-04-16,757738.76,0.0,45.22,2.915,126.5621,6.635,2010,4,16,4
102,17.0,2010-06-11,845252.21,0.0,57.14,2.841,126.1119032,6.76,2010,6,11,4
103,17.0,2010-10-01,829207.27,0.0,60.07,2.853,126.2346,6.885,2010,10,1,4
104,17.0,2010-11-12,855459.96,0.0,60.07,2.8310000000000004,126.5461613,6.2059999999999995,2010,11,12,4
105,17.0,2012-10-12,919878.34,0.0,44.82,3.797,131.1083333,5.527,2012,10,12,4
106,17.0,2012-10-12,986922.62,0.0,44.82,3.793,131.03754840000002,6.235,2012,10,12,4
107,17.0,2012-10-12,1046782.52,0.0,68.91,3.63,131.03754840000002,5.936,2012,10,12,4
108,18.0,2010-05-28,1256282.79,0.0,69.12,2.906,132.2939355,9.342,2010,5,28,4
109,18.0,2010-08-06,1166117.85,0.0,73.67,2.792,132.6141935,9.342,2010,8,6,4
110,18.0,2010-10-15,1029618.1,0.0,52.02,2.878,132.7633548,9.331,2010,10,15,4
111,18.0,2010-12-17,1588430.71,0.0,27.4,3.139,133.52091074999998,9.331,2010,12,17,4
112,18.0,2011-04-15,988157.72,0.0,27.4,3.823,134.2784667,8.975,2011,4,15,4
113,18.0,2012-04-27,961186.23,0.0,50.43,4.023,137.9781333,8.304,2012,4,27,4
114,18.0,2012-10-12,1074079.0,0.0,50.97,4.029,138.9117,8.243,2012,10,12,4
115,18.0,2012-10-12,1205307.5,0.0,21.33,2.7880000000000003,131.52790320000005,9.202,2012,10,12,4
116,18.0,2012-10-12,1087051.26,0.0,69.75,3.815,135.4468,8.89,2012,10,12,4
117,18.0,2012-10-12,1048134.24,0.0,73.25,3.84,138.1857097,8.535,2012,10,12,4
118,19.0,2010-03-26,1427023.45,0.0,39.07,2.963,131.863129,8.35,2010,3,26,4
119,19.0,2010-07-02,1549018.68,0.0,66.25,2.958,132.5218667,8.099,2010,7,2,4
120,19.0,2010-07-30,1366395.96,0.0,72.83,2.932,132.5983871,8.099,2010,7,30,4
121,19.0,2011-03-25,1266564.94,0.0,33.26,3.789,133.9587419,7.771,2011,3,25,4
122,19.0,2011-06-10,1467473.63,0.0,68.26,3.789,134.94254840000002,7.657999999999999,2011,6,10,4
123,19.0,2012-04-20,1255087.26,0.0,55.2,4.17,137.9230667,8.15,2012,4,20,4
124,19.0,2012-05-04,1405007.44,0.0,50.76,4.124,138.0332,8.15,2012,5,4,4
125,19.0,2012-06-22,1468350.36,0.0,50.76,3.722,138.1629,8.15,2012,6,22,4
126,20.0,2010-06-25,1973135.87,0.0,75.17,2.8080000000000003,204.5675459,7.856,2010,6,25,4
127,20.0,2010-09-24,1789687.65,0.0,69.37,2.8080000000000003,204.60538630000002,7.527,2010,9,24,4
128,20.0,2010-12-31,1799737.79,1.0,28.85,3.179,204.6432267,7.484,2010,12,31,4
129,20.0,2012-02-03,2203523.2,0.0,39.93,3.617,213.0236225,6.961,2012,2,3,4
130,20.0,2012-02-03,2045837.55,0.0,39.79,3.739,213.4725116,6.961,2012,2,3,4
